id,faithfulness,answer_relevancy,context_precision
41ae71ea-59db-46b7-af56-d8f5026ead56,0.417,0.885,1.0
f2530571-175f-479e-a21b-2e096d186cd8,0.714,0.838,1.0
77e16750-3981-4751-a862-ea21bbbd2a1d,0.667,0.0,1.0
80e8a1e6-6ba2-4b38-9397-56b89564ca00,0.333,0.897,1.0
3a1d050a-502c-4af7-8ed3-9dd55f13b06a,0.462,0.887,1.0
da3e35f3-da5f-4453-9d68-5c2f951b2d85,0.0,0.858,1.0
ba7cb5ba-b87a-491f-a4a7-6ce72b26afd2,0.909,0.0,1.0
710acf9d-867a-43f4-9873-70ca08989d79,0.0,0.845,1.0
f7097108-3b58-415b-b3ce-31db680e1701,0.6,0.921,1.0
9bd1b731-bd4d-4da0-85b5-33266fbc5245,0.25,0.87,1.0
